"code","protocol_id","path","title","encoding_maturity","claims_renal","renal_inputs","renal_rules","claims_hepatic","hepatic_inputs","hepatic_rules","mismatches"
"","","protocols/_shared/ecog-context-placeholder.json","","not_formally_audited","false","","","false","","",""
"","","protocols/_shared/single-agent-ici-profile.json","","not_formally_audited","false","","","false","","",""
"","","protocols/package.json","","not_formally_audited","false","","","false","","",""
"","","protocols/protocol-schema.json","","not_formally_audited","false","","","false","","",""
"00000","nccp-00000-v1","protocols/_template/protocol-template.json","Example regimen","not_formally_audited","false","","","false","","",""
"00100","nccp-00100-v6","protocols/sarcoma/00100-mifamurtide-therapy.json","Mifamurtide Therapy","not_formally_audited","true","mifamurtide_renal_band","RENAL_LT30|RENAL_HD","true","child_pugh","HEP_B|HEP_C",""
"00101","nccp-00101-v8","protocols/genitourinary/00101-cabazitaxel-prednisolone.json","Cabazitaxel and Prednisolone Therapy","not_formally_audited","false","renal_band","RENAL","false","hepatic_band","HEP_MILD|HEP_MOD|HEP_SEVERE",""
"00102","nccp-00102-v6","protocols/skin/00102-vemurafenib-monotherapy.json","Vemurafenib Monotherapy","not_formally_audited","false","","","false","alt_ast_uln_multiple|bilirubin_uln_multiple","",""
"00103","nccp-00103-v9","protocols/genitourinary/00103-abiraterone-prednisolone-mcrpc.json","Abiraterone and prednisolone Therapy (mCRPC)","not_formally_audited","false","creatinine_below_1_5_uln","CREATININE_ELIGIBILITY","false","bilirubin_uln_multiple|alt_ast_uln_multiple|alp_u_l|child_pugh|active_hepatitis_or_chronic_liver_disease","BILIRUBIN_ELIGIBILITY|TRANSAMINASE_ELIGIBILITY|ALP_ELIGIBILITY|CHILD_PUGH_B|CHILD_PUGH_C|HEPATITIS_EXCLUSION",""
"00104","nccp-00104-v6","protocols/genitourinary/00104-axitinib-monotherapy.json","Axitinib Monotherapy","not_formally_audited","false","","","false","alt_ast_uln_multiple|bilirubin_uln_multiple","",""
"00105","nccp-00105-v7","protocols/skin/00105-ipilimumab-monotherapy.json","Ipilimumab Monotherapy","not_formally_audited","false","creatinine_ratio_baseline_or_uln","ICI_RENAL","false","alt_ast_uln_multiple|bilirubin_uln_multiple","",""
