protocol_id,trial_acronym,publication_title,journal,year,pmid,evidence_context,study_design,match_type,review_status
nccp-00382-v3,RECOURSE,Randomized Trial of TAS-102 for Refractory Metastatic Colorectal Cancer,New England Journal of Medicine,2015,25970050,Previously treated metastatic colorectal cancer,Phase 3 randomised placebo-controlled trial,Exact medicine and disease setting,AI-assisted draft; consultant review pending
nccp-00209-v10a,MOSAIC,"Oxaliplatin, Fluorouracil, and Leucovorin as Adjuvant Treatment for Colon Cancer",New England Journal of Medicine,2004,15175436,Adjuvant colon cancer,Phase 3 randomised trial,Regimen-family evidence; schedule differs,AI-assisted draft; consultant review pending
nccp-00227-v9,V303,Irinotecan Combined with Fluorouracil Compared with Fluorouracil Alone as First-Line Treatment for Metastatic Colorectal Cancer,The Lancet,2000,10744089,First-line metastatic colorectal cancer,Multicentre randomised trial,Backbone evidence for colorectal indication,AI-assisted draft; consultant review pending
nccp-00329-v9,PRODIGE 4 / ACCORD 11,FOLFIRINOX versus Gemcitabine for Metastatic Pancreatic Cancer,New England Journal of Medicine,2011,21561347,Metastatic pancreatic adenocarcinoma,Phase 2/3 randomised trial,Exact regimen family and disease setting,AI-assisted draft; consultant review pending
nccp-00515-v7,PRODIGE 24 / CCTG PA.6,FOLFIRINOX or Gemcitabine as Adjuvant Therapy for Pancreatic Cancer,New England Journal of Medicine,2018,30575490,Adjuvant treatment after resection of pancreatic ductal adenocarcinoma,Phase 3 randomised trial,Exact modified regimen in adjuvant context,AI-assisted draft; consultant review pending
nccp-00655-v3a,PACIFIC,Durvalumab after Chemoradiotherapy in Stage III Non-Small-Cell Lung Cancer,New England Journal of Medicine,2017,28885881,Unresectable stage III NSCLC without progression after concurrent chemoradiotherapy,Phase 3 randomised placebo-controlled trial,Exact treatment strategy and setting,AI-assisted draft; consultant review pending
nccp-00568-v5,KEYNOTE-189,Pembrolizumab plus Chemotherapy in Metastatic Non-Small-Cell Lung Cancer,New England Journal of Medicine,2018,29658856,Previously untreated metastatic non-squamous NSCLC without EGFR or ALK alterations,Phase 3 randomised placebo-controlled trial,Exact immunotherapy and chemotherapy backbone,AI-assisted draft; consultant review pending
nccp-00857-v3,KEYNOTE-522,Pembrolizumab for Early Triple-Negative Breast Cancer,New England Journal of Medicine,2020,32101663,High-risk early triple-negative breast cancer,Phase 3 randomised placebo-controlled trial,Exact treatment strategy; local phase schedule encoded separately,AI-assisted draft; consultant review pending
nccp-00722-v2,TRYPHAENA,Pertuzumab plus Trastuzumab in Combination with Standard Neoadjuvant Anthracycline-Containing and Anthracycline-Free Chemotherapy Regimens in Patients with HER2-Positive Early Breast Cancer,Annals of Oncology,2013,23704196,Neoadjuvant HER2-positive early or locally advanced breast cancer,Randomised phase 2 cardiac-safety study,Exact component combination in a trial cohort,AI-assisted draft; consultant review pending
nccp-00258-v9,BCIRG 006,Adjuvant Trastuzumab in HER2-Positive Breast Cancer,New England Journal of Medicine,2011,21991949,Adjuvant HER2-positive early breast cancer,Phase 3 randomised trial,Exact TCH regimen and adjuvant setting,AI-assisted draft; consultant review pending
