NCCP code,Protocol,Path,Change class
00200,Trastuzumab Intravenous Monotherapy – 21 days,protocols/breast/00200-trastuzumab-iv-q21d.json,Governance and provenance hardening
00201,Trastuzumab Intravenous Monotherapy – 7 days,protocols/breast/00201-trastuzumab-iv-weekly.json,Governance and provenance hardening
00202,Docetaxel Monotherapy 100 mg/m² – 21 day,protocols/breast/00202-docetaxel-100-21-day.json,Direct source fidelity reconciliation
00204,"Pertuzumab, Trastuzumab and Docetaxel Therapy – 21 day cycle",protocols/breast/00204-pertuzumab-trastuzumab-docetaxel.json,Governance and provenance hardening
00206,Trastuzumab Emtansine (T-DM1) Therapy – 21 days,protocols/breast/00206-t-dm1-metastatic.json,Governance and provenance hardening
00217,Lapatinib and Capecitabine Therapy - 21 days,protocols/breast/00217-lapatinib-capecitabine.json,Governance and provenance hardening
00230,nab-Paclitaxel Monotherapy - 21 day,protocols/breast/00230-nab-paclitaxel-q21d.json,Governance and provenance hardening
00250,Docetaxel / Cyclophosphamide (TC) Therapy – 21 day,protocols/breast/00250-docetaxel-cyclophosphamide.json,Governance and provenance hardening
00252,Doxorubicin and Cyclophosphamide (AC 60/600) Therapy – 21 day,protocols/breast/00252-ac-doxorubicin-cyclophosphamide.json,Governance and provenance hardening
00253,Tamoxifen Monotherapy,protocols/breast/00253-tamoxifen.json,Governance and provenance hardening
00254,Anastrozole Monotherapy,protocols/breast/00254-anastrozole-monotherapy.json,Governance and provenance hardening
00258,"Docetaxel, Carboplatin and Trastuzumab (TCH) – 21 days",protocols/breast/00258-tch-docetaxel-carboplatin-trastuzumab.json,Governance and provenance hardening
00260,AC 21-day followed by weekly Paclitaxel (AC-T),protocols/breast/00260-ac-followed-by-weekly-paclitaxel.json,Governance and provenance hardening
00262,Epirubicin 90 and Cyclophosphamide (EC90),protocols/breast/00262-ec90.json,Direct source fidelity reconciliation
00263,Epirubicin 75 and Cyclophosphamide (EC75),protocols/breast/00263-ec75.json,Direct source fidelity reconciliation
00265,"5-Fluorouracil, Epirubicin 100 and Cyclophosphamide (FEC100)",protocols/breast/00265-fec100.json,Governance and provenance hardening
00269,"5-Fluorouracil, Epirubicin 50 and Cyclophosphamide (FEC50)",protocols/breast/00269-fec50.json,Direct source fidelity reconciliation
00272,Trastuzumab Subcutaneous 21 days – Metastatic Breast Cancer,protocols/breast/00272-trastuzumab-sc-q21d-metastatic.json,Governance and provenance hardening
00278,Dose-dense AC followed by Paclitaxel 175 mg/m² every 14 days,protocols/breast/00278-dose-dense-ac-paclitaxel-14-day.json,Governance and provenance hardening
00285,Trastuzumab Subcutaneous 21 days – Early Breast Cancer,protocols/breast/00285-trastuzumab-sc-q21d-ebc.json,Governance and provenance hardening
00316,Dose-dense AC followed by Paclitaxel every 14 days and Trastuzumab,protocols/breast/00316-ddac-paclitaxel-14-day-trastuzumab.json,Governance and provenance hardening
00322,Everolimus and Exemestane Therapy,protocols/breast/00322-everolimus-exemestane.json,Governance and provenance hardening
00348,Carboplatin AUC 6 and weekly Paclitaxel followed by dose-dense AC,protocols/breast/00348-carbo-auc6-paclitaxel-ddac.json,Governance and provenance hardening
00350,Pertuzumab and Trastuzumab with Chemotherapy,protocols/breast/00350-pertuzumab-trastuzumab-chemotherapy.json,Governance and provenance hardening
00361,Fulvestrant Monotherapy,protocols/breast/00361-fulvestrant-monotherapy.json,Governance and provenance hardening
00371,Letrozole Monotherapy,protocols/breast/00371-letrozole-monotherapy.json,Governance and provenance hardening
00376,Exemestane Monotherapy,protocols/breast/00376-exemestane-monotherapy.json,Governance and provenance hardening
00377,"Cyclophosphamide (oral), Methotrexate and 5-Fluorouracil (CMF)",protocols/breast/00377-cmf-oral.json,Direct source fidelity reconciliation
00378,"Cyclophosphamide (IV), Methotrexate and 5-Fluorouracil (CMF) – 28 day",protocols/breast/00378-cmf-iv-28-day.json,Direct source fidelity reconciliation
00381,"Cyclophosphamide (IV), Methotrexate and 5-Fluorouracil (CMF) – 21 day",protocols/breast/00381-cmf-iv-21-day.json,Direct source fidelity reconciliation
00414,Palbociclib Therapy - 28 day,protocols/breast/00414-palbociclib.json,Governance and provenance hardening
00423,Doxorubicin 50 mg/m² and Docetaxel 75 mg/m² (AT 50/75),protocols/breast/00423-at-doxorubicin-docetaxel.json,Direct source fidelity reconciliation
00430,Gemcitabine and Carboplatin AUC2 - 21 day,protocols/breast/00430-gemcitabine-carboplatin.json,Governance and provenance hardening
00432,AC followed by weekly Paclitaxel and weekly Trastuzumab (AC-TH),protocols/breast/00432-ac-weekly-paclitaxel-trastuzumab.json,Governance and provenance hardening
00433,Dose-dense AC followed by weekly Paclitaxel and weekly Trastuzumab,protocols/breast/00433-ddac-weekly-paclitaxel-trastuzumab.json,Governance and provenance hardening
00485,Dose-dense AC followed by weekly Paclitaxel,protocols/breast/00485-dose-dense-ac-weekly-paclitaxel.json,Governance and provenance hardening
00507,"Pertuzumab, Trastuzumab and Weekly Paclitaxel - 21 day",protocols/breast/00507-pertuzumab-trastuzumab-paclitaxel.json,Governance and provenance hardening
00512,Paclitaxel 80 mg/m² and Trastuzumab Therapy – 7 day (12 weeks),protocols/breast/00512-paclitaxel-trastuzumab-weekly.json,Governance and provenance hardening
00525,Ribociclib Therapy (Metastatic) - 28 day,protocols/breast/00525-ribociclib-metastatic.json,Governance and provenance hardening
00526,"Pertuzumab, Trastuzumab and Vinorelbine - 21 day",protocols/breast/00526-pertuzumab-trastuzumab-vinorelbine.json,Rule integrity correction
00545,Zoledronic Acid Monotherapy,protocols/breast/00545-zoledronic-acid-adjuvant.json,Governance and provenance hardening
00605,Talazoparib Therapy,protocols/breast/00605-talazoparib.json,Governance and provenance hardening
00619,Abemaciclib with endocrine therapy – adjuvant,protocols/breast/00619-abemaciclib-adjuvant.json,Governance and provenance hardening
00659,Trastuzumab Emtansine (Kadcyla®) Early Breast Cancer Therapy - 21 days,protocols/breast/00659-t-dm1-early-breast.json,Governance and provenance hardening
00688,Atezolizumab and nab-Paclitaxel,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,Governance and provenance hardening
00720,Neratinib Therapy,protocols/breast/00720-neratinib-extended-adjuvant.json,Governance and provenance hardening
00722,"Docetaxel, Carboplatin, Trastuzumab and Pertuzumab (TCHP) Therapy",protocols/breast/00722-tchp-docetaxel-carboplatin-trastuzumab-pertuzumab.json,Governance and provenance hardening
00726,Pertuzumab and Trastuzumab Therapy,protocols/breast/00726-pertuzumab-trastuzumab-maintenance.json,Governance and provenance hardening
00731,"Docetaxel, Carboplatin, Trastuzumab SC and Pertuzumab",protocols/breast/00731-tch-subcutaneous-p.json,Governance and provenance hardening
00734,Weekly Carboplatin AUC 2 and Paclitaxel followed by dose-dense AC,protocols/breast/00734-weekly-carbo-paclitaxel-ddac.json,Governance and provenance hardening
00736,nab-Paclitaxel Weekly Monotherapy - 28 day,protocols/breast/00736-nab-paclitaxel-weekly.json,Governance and provenance hardening
00738,Bevacizumab 10 mg/kg and Paclitaxel 80 mg/m2,protocols/breast/00738-bevacizumab-paclitaxel.json,Governance and provenance hardening
00743,Eribulin Monotherapy – 28 day,protocols/breast/00743-eribulin-monotherapy-28-day.json,Direct source fidelity reconciliation
00745,Dose-dense AC followed by weekly Paclitaxel and Trastuzumab every 21 days,protocols/breast/00745-ddac-weekly-paclitaxel-trastuzumab-q21d.json,Governance and provenance hardening
00749,Gemcitabine 800 mg/m² Monotherapy – 28 day,protocols/breast/00749-gemcitabine-800-monotherapy.json,Direct source fidelity reconciliation
00775,"Pertuzumab, Trastuzumab, Paclitaxel and Carboplatin (TRAIN-2)",protocols/breast/00775-pertuzumab-trastuzumab-paclitaxel-carboplatin-train2.json,Governance and provenance hardening
00776,Trastuzumab Deruxtecan 5.4 mg/kg (Enhertu) Therapy,protocols/breast/00776-trastuzumab-deruxtecan.json,Governance and provenance hardening
00785,Pertuzumab and Trastuzumab (Phesgo®) Maintenance Therapy,protocols/breast/00785-phesgo-maintenance.json,Governance and provenance hardening
00789,"Docetaxel, Carboplatin and Pertuzumab/Trastuzumab (Phesgo) TCHP",protocols/breast/00789-phesgo-tchp.json,Governance and provenance hardening
00790,"Pertuzumab/Trastuzumab (Phesgo), Paclitaxel and Carboplatin (TRAIN-2)",protocols/breast/00790-phesgo-paclitaxel-carboplatin-train2.json,Governance and provenance hardening
