Class,NCCP code,Regimen,Missing screening domains,Interpretation
HER2 targeted,00258,"Docetaxel, Carboplatin and Trastuzumab (TCH) – 21 days",cardiac assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
HER2 targeted,00316,Dose-dense AC followed by Paclitaxel every 14 days and Trastuzumab,cardiac assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
HER2 targeted,00432,AC followed by weekly Paclitaxel and weekly Trastuzumab (AC-TH),cardiac assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
HER2 targeted,00433,Dose-dense AC followed by weekly Paclitaxel and weekly Trastuzumab,cardiac assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
HER2 targeted,00745,Dose-dense AC followed by weekly Paclitaxel and Trastuzumab every 21 days,cardiac assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
anthracycline,00265,"5-Fluorouracil, Epirubicin 100 and Cyclophosphamide (FEC100)","cardiac assessment, hepatic assessment",Screening signal only. Confirm the current NCCP source before changing clinical logic.
anthracycline,00269,"5-Fluorouracil, Epirubicin 50 and Cyclophosphamide (FEC50)",cardiac assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
anthracycline,00333,"Dose-dense Methotrexate, Vinblastine, Doxorubicin and Cisplatin (MVAC) – 14 day",cardiac assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
anthracycline,00338,"Methotrexate, Vinblastine, Doxorubicin and Cisplatin (MVAC) – 28 day",cardiac assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
anti VEGF,00738,Bevacizumab 10 mg/kg and Paclitaxel 80 mg/m2,wound healing or surgery context,Screening signal only. Confirm the current NCCP source before changing clinical logic.
cisplatin,00317,Pemetrexed 500 mg/m² and Cisplatin 75 mg/m² Therapy,hearing or ototoxicity,Screening signal only. Confirm the current NCCP source before changing clinical logic.
cisplatin,00897,"Durvalumab 1500 mg, Gemcitabine 1000 mg/m² and Cisplatin 25 mg/m² Therapy",neuropathy,Screening signal only. Confirm the current NCCP source before changing clinical logic.
fluoropyrimidine,00217,Lapatinib and Capecitabine Therapy - 21 days,DPD status,Screening signal only. Confirm the current NCCP source before changing clinical logic.
fluoropyrimidine,00265,"5-Fluorouracil, Epirubicin 100 and Cyclophosphamide (FEC100)",DPD status,Screening signal only. Confirm the current NCCP source before changing clinical logic.
fluoropyrimidine,00936,"Tucatinib, Trastuzumab and Capecitabine Therapy - 21 days",DPD status,Screening signal only. Confirm the current NCCP source before changing clinical logic.
immune checkpoint,00105,Ipilimumab Monotherapy,glucose,Platform screening signal only. Endocrine fields remain optional and immunotherapy specific. Confirm the current NCCP source before changing clinical logic.
immune checkpoint,00431,Nivolumab 1 mg/kg and Ipilimumab 3 mg/kg Therapy,glucose,Platform screening signal only. Endocrine fields remain optional and immunotherapy specific. Confirm the current NCCP source before changing clinical logic.
immune checkpoint,00535,Avelumab Monotherapy,glucose,Platform screening signal only. Endocrine fields remain optional and immunotherapy specific. Confirm the current NCCP source before changing clinical logic.
immune checkpoint,00583,Pembrolizumab 200 mg and Axitinib Therapy,glucose,Platform screening signal only. Endocrine fields remain optional and immunotherapy specific. Confirm the current NCCP source before changing clinical logic.
immune checkpoint,00705,"Pembrolizumab, Carboplatin AUC 5 and 5-Fluorouracil",glucose,Platform screening signal only. Endocrine fields remain optional and immunotherapy specific. Confirm the current NCCP source before changing clinical logic.
immune checkpoint,00706,"Pembrolizumab, Cisplatin and 5-Fluorouracil",glucose,Platform screening signal only. Endocrine fields remain optional and immunotherapy specific. Confirm the current NCCP source before changing clinical logic.
immune checkpoint,00857,"Pembrolizumab, Carboplatin AUC 5 and weekly Paclitaxel 80 mg/m² followed by Doxorubicin and Cyclophosphamide (AC 60/600) Therapy","TSH, free T4, cortisol, glucose",Platform screening signal only. Endocrine fields remain optional and immunotherapy specific. Confirm the current NCCP source before changing clinical logic.
immune checkpoint,00858,"Pembrolizumab 200 mg, weekly Carboplatin AUC 1.5 and Paclitaxel 80 mg/m² followed by Doxorubicin and Cyclophosphamide Therapy","TSH, free T4, cortisol, glucose",Platform screening signal only. Endocrine fields remain optional and immunotherapy specific. Confirm the current NCCP source before changing clinical logic.
immune checkpoint,00860,"Pembrolizumab 400 mg, Carboplatin AUC 5 and weekly Paclitaxel followed by dose-dense AC","TSH, free T4, cortisol, glucose",Platform screening signal only. Endocrine fields remain optional and immunotherapy specific. Confirm the current NCCP source before changing clinical logic.
immune checkpoint,00861,"Pembrolizumab 400 mg, weekly Carboplatin AUC 1.5 and Paclitaxel followed by dose-dense AC","TSH, free T4, cortisol, glucose",Platform screening signal only. Endocrine fields remain optional and immunotherapy specific. Confirm the current NCCP source before changing clinical logic.
pemetrexed,00317,Pemetrexed 500 mg/m² and Cisplatin 75 mg/m² Therapy,supplementation context,Screening signal only. Confirm the current NCCP source and supportive care mapping before changing clinical logic.
taxane,00101,Cabazitaxel and Prednisolone Therapy,hepatic assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
taxane,00203,Docetaxel Monotherapy 75 mg/m² – 21 day cycle,hepatic assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
taxane,00258,"Docetaxel, Carboplatin and Trastuzumab (TCH) – 21 days",hepatic assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
taxane,00260,AC 21-day followed by weekly Paclitaxel (AC-T),hepatic assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
taxane,00278,Dose-dense AC followed by Paclitaxel 175 mg/m² every 14 days,hepatic assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
taxane,00313,Docetaxel Monotherapy 50 mg/m² – 14 day cycle,hepatic assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
taxane,00316,Dose-dense AC followed by Paclitaxel every 14 days and Trastuzumab,hepatic assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
taxane,00432,AC followed by weekly Paclitaxel and weekly Trastuzumab (AC-TH),hepatic assessment,Screening signal only. Confirm the current NCCP source before changing clinical logic.
