id,name,drug_type,drug_class,mechanism,review_status
trifluridine_tipiracil,Trifluridine/tipiracil,Oral cytotoxic combination,Thymidine-based nucleoside analogue with thymidine phosphorylase inhibitor,"Trifluridine is incorporated into DNA and disrupts DNA function. Tipiracil inhibits thymidine phosphorylase, increasing systemic exposure to trifluridine.",AI-assisted draft; pharmacy review pending
fluorouracil,Fluorouracil,Cytotoxic chemotherapy,Fluoropyrimidine antimetabolite,"Intracellular metabolites inhibit thymidylate synthase and can be incorporated into RNA and DNA, disrupting nucleic-acid synthesis and function.",AI-assisted draft; pharmacy review pending
folinic_acid,Folinic acid,Biochemical modulator,Reduced folate,"Stabilises the fluorouracil–thymidylate synthase complex, enhancing fluorouracil-mediated inhibition of thymidylate synthesis. It is not itself a cytotoxic component in these regimens.",AI-assisted draft; pharmacy review pending
oxaliplatin,Oxaliplatin,Cytotoxic chemotherapy,Platinum compound,"Forms platinum–DNA adducts and cross-links that interfere with DNA replication and transcription, leading to cell death.",AI-assisted draft; pharmacy review pending
irinotecan,Irinotecan,Cytotoxic chemotherapy,Topoisomerase I inhibitor,"Its active metabolite SN-38 stabilises the topoisomerase I–DNA complex, preventing repair of single-strand breaks during DNA replication.",AI-assisted draft; pharmacy review pending
durvalumab,Durvalumab,Immunotherapy,PD-L1 immune checkpoint inhibitor,"Binds PD-L1 and blocks its interaction with PD-1 and CD80, supporting restoration of antitumour T-cell activity.",AI-assisted draft; pharmacy review pending
pembrolizumab,Pembrolizumab,Immunotherapy,PD-1 immune checkpoint inhibitor,"Binds PD-1 and blocks interaction with PD-L1 and PD-L2, reducing inhibitory signalling in activated T cells.",AI-assisted draft; pharmacy review pending
nivolumab,Nivolumab,Immunotherapy,PD-1 immune checkpoint inhibitor,"Binds PD-1 and blocks ligand-mediated inhibitory signalling, supporting antitumour T-cell responses.",AI-assisted draft; pharmacy review pending
atezolizumab,Atezolizumab,Immunotherapy,PD-L1 immune checkpoint inhibitor,"Binds PD-L1 and blocks interactions with PD-1 and CD80, reducing checkpoint-mediated suppression of T-cell activity.",AI-assisted draft; pharmacy review pending
pemetrexed,Pemetrexed,Cytotoxic chemotherapy,Multitargeted antifolate,"Inhibits folate-dependent enzymes involved in purine and thymidylate synthesis, impairing DNA and RNA synthesis.",AI-assisted draft; pharmacy review pending
carboplatin,Carboplatin,Cytotoxic chemotherapy,Platinum compound,Forms platinum–DNA adducts and cross-links that disrupt DNA replication and transcription.,AI-assisted draft; pharmacy review pending
paclitaxel,Paclitaxel,Cytotoxic chemotherapy,Taxane microtubule stabiliser,"Promotes microtubule assembly and prevents normal microtubule disassembly, disrupting mitosis and intracellular transport.",AI-assisted draft; pharmacy review pending
docetaxel,Docetaxel,Cytotoxic chemotherapy,Taxane microtubule stabiliser,"Stabilises microtubules and inhibits their depolymerisation, causing disruption of mitotic and cellular functions.",AI-assisted draft; pharmacy review pending
doxorubicin,Doxorubicin,Cytotoxic chemotherapy,Anthracycline and topoisomerase II inhibitor,"Intercalates into DNA, inhibits topoisomerase II and generates reactive species, causing DNA damage and impaired replication.",AI-assisted draft; pharmacy review pending
pegylated_liposomal_doxorubicin,Pegylated liposomal doxorubicin,Cytotoxic chemotherapy,Pegylated liposomal anthracycline,Delivers doxorubicin in a pegylated liposomal formulation. Released doxorubicin intercalates DNA and inhibits topoisomerase II.,AI-assisted draft; pharmacy review pending
cyclophosphamide,Cyclophosphamide,Cytotoxic chemotherapy,Alkylating agent,"Hepatic activation produces metabolites that form DNA cross-links, interfering with DNA replication and cell division.",AI-assisted draft; pharmacy review pending
trastuzumab,Trastuzumab,Targeted therapy,HER2-directed monoclonal antibody,"Binds the extracellular domain of HER2, inhibiting signalling and promoting immune-mediated destruction of HER2-expressing tumour cells.",AI-assisted draft; pharmacy review pending
pertuzumab,Pertuzumab,Targeted therapy,HER2 dimerisation inhibitor,Binds a different extracellular HER2 domain from trastuzumab and inhibits ligand-dependent HER2 dimerisation with other HER family receptors.,AI-assisted draft; pharmacy review pending
abemaciclib,Abemaciclib,Targeted therapy,CDK4/6 inhibitor,"Inhibits cyclin-dependent kinases 4 and 6, reducing retinoblastoma-protein phosphorylation and limiting progression from G1 to S phase.",AI-assisted draft; pharmacy review pending
bevacizumab,Bevacizumab,Targeted therapy,VEGF-A monoclonal antibody,"Binds VEGF-A and reduces activation of VEGF receptors, inhibiting tumour-associated angiogenic signalling.",AI-assisted draft; pharmacy review pending
gemcitabine,Gemcitabine,Cytotoxic chemotherapy,Pyrimidine nucleoside analogue,"Active metabolites inhibit ribonucleotide reductase and are incorporated into DNA, impairing DNA synthesis.",AI-assisted draft; pharmacy review pending
cisplatin,Cisplatin,Cytotoxic chemotherapy,Platinum compound,Forms intra- and inter-strand DNA cross-links that disrupt DNA replication and transcription.,AI-assisted draft; pharmacy review pending
axitinib,Axitinib,Targeted therapy,VEGFR tyrosine-kinase inhibitor,"Inhibits VEGFR-1, VEGFR-2 and VEGFR-3 signalling, reducing angiogenesis and tumour vascular growth.",AI-assisted draft; pharmacy review pending
enfortumab_vedotin,Enfortumab vedotin,Antibody–drug conjugate,Nectin-4-directed antibody linked to a microtubule-disrupting payload,"Binds Nectin-4, is internalised and releases monomethyl auristatin E, which disrupts microtubules and induces cell death.",AI-assisted draft; pharmacy review pending
