id,severity,domain,original_title,v0680_status,v0680_disposition
F001,High,Source fidelity,Docetaxel 100 mg/m2 protocol has an incorrect ANC boundary and an unsupported platelet rule,Resolved,"NCCP 00202 rebuilt against the current source with corrected ANC handling, removal of unsupported platelet treatment logic, hepatic pathways and source defined toxicity handling."
F002,High,Source fidelity,"Weekly paclitaxel plus trastuzumab has an incorrect platelet threshold and missing cardiac, hepatic and toxicity pathways",Resolved,"NCCP 00815 rebuilt with the source platelet bands, LVEF assessment, hepatic assessment and toxicity pathways."
F003,High,Source fidelity,AT 50/75 has an incorrect ANC threshold and broad underencoding,Resolved,NCCP 00423 rebuilt with the corrected ANC boundary and broader organ and toxicity context.
F004,High,Source fidelity,"CMF oral omits the NCCP 75 percent haematology band, DPD logic and organ function tables",Resolved,"NCCP 00377 rebuilt with the intermediate haematology dose band, DPD pathway and component specific renal and hepatic logic."
F005,High,Source fidelity,CMF IV 28 day is materially underencoded,Resolved,"NCCP 00378 rebuilt with the intermediate haematology dose band, DPD pathway and component specific renal and hepatic logic."
F006,High,Source fidelity,CMF IV 21 day is materially underencoded,Resolved,"NCCP 00381 rebuilt with the intermediate haematology dose band, DPD pathway and component specific renal and hepatic logic."
F007,High,Source fidelity,"EC90 lacks source defined renal, hepatic and cardiac context",Resolved,"NCCP 00262 now includes source reconciled renal, hepatic and cardiac context. Tiered renal thresholds use a protocol specific selector."
F008,High,Source fidelity,EC75 lacks source defined organ and cardiac context,Resolved,"NCCP 00263 now includes source reconciled renal, hepatic and cardiac context. Tiered renal thresholds use a protocol specific selector."
F009,High,Source fidelity,"FEC50 lacks DPD, organ function and occurrence based haematology logic",Resolved,"NCCP 00269 now includes DPD, component specific organ function and detailed haematology logic."
F010,High,Source fidelity,"Eribulin 28 day omits source defined dose reduction, renal, hepatic and nonhaematological toxicity pathways",Resolved,"NCCP 00743 now includes phase specific haematology, recurrent dose level logic, renal and Child Pugh pathways and severe non haematological toxicity handling."
F011,High,Source fidelity,Gemcitabine 800 monotherapy is materially underencoded,Resolved,"NCCP 00749 now includes cycle day specific haematology, renal and bilirubin context, dialysis timing review and severe toxicity handling."
F012,High,Clinical semantics,Assessment completeness can mean only that all encoded rules were evaluable,Resolved,Visible completeness wording has been replaced by Encoded rule coverage wording so source completeness is not implied.
F013,High,Governance,Most protocols do not expose a meaningful encoding maturity status,Resolved,All 376 active protocols now carry an explicit encoding maturity state. Legacy records are conservatively labelled as pending full source fidelity review.
F014,High,Rule integrity,Exact duplicate conditions can produce different action types,Resolved,The audit now uses component aware conflict logic. Thirty five exact condition groups remain because different drug components legitimately require different actions. Zero exact condition conflicts remain for overlapping components.
F015,High,Rule integrity,Modified FOLFIRINOX contains a rule where the named field is ignored by engine precedence,Resolved,The modified FOLFIRINOX hand foot syndrome rule now evaluates the intended field and no longer mixes condition syntaxes.
F016,Medium,Rule integrity,Ten select rule conditions can never be selected by the current input options,Resolved,The ten stale unreachable cisplatin select rules were removed. The current integrity audit reports zero unreachable select values.
F017,Medium,Rule provenance,A substantial number of rules lack encoded source provenance,Structurally resolved,Every active rule now contains a source object. Legacy source objects explicitly state when full source fidelity reconciliation is still pending.
F018,Medium,Explainability,A substantial number of rules lack explicit explanations,Structurally resolved,Every active rule now contains an explanation. Source reconciled explanations remain distinct from conservative legacy explanations.
F019,Medium,Input semantics,Many visible inputs are not linked to deterministic rules or required dependencies,Resolved,"Every visible input now has an explicit role of decision, monitoring, context or documentation. This distinguishes rule driving inputs from informative fields."
F020,Medium,Class screening,Fluoropyrimidine protocols show a residual DPD coverage review queue,Open screening queue,The corrected breast fluoropyrimidine records were reconciled. Three residual DPD screening signals remain and require current source confirmation before any rule change.
F021,Medium,Class screening,Several HER2 and anthracycline protocols lack explicit cardiac inputs,Open screening queue,Several corrected breast records now include cardiac context. Residual HER2 and anthracycline cardiac screening signals remain for source review.
